condition,metric,N,median,q1,q3,mean,sd
qwen3_8b_baseline,answer_relevance,205,4.0,3.0,5.0,3.6439024390243904,1.1525863458122543
qwen3_8b_baseline,biomedical_factual_correctness,205,3.0,1.0,4.0,2.7121951219512197,1.3968092354262862
qwen3_8b_baseline,completeness,205,2.0,2.0,3.0,2.6146341463414635,1.1126635098192146
qwen3_8b_baseline,uncertainty_abstention,205,3.0,1.0,4.0,2.8536585365853657,1.5236851549643162
qwen3_8b_graph_only,answer_relevance,205,5.0,4.0,5.0,4.429268292682927,0.9956385039799158
qwen3_8b_graph_only,biomedical_factual_correctness,205,5.0,4.0,5.0,4.4975609756097565,0.8945608531778367
qwen3_8b_graph_only,completeness,205,4.0,3.0,5.0,3.795121951219512,1.1827914845142027
qwen3_8b_graph_only,uncertainty_abstention,205,5.0,5.0,5.0,4.521951219512195,0.9780713803500132
qwen3_8b_igkf,answer_relevance,205,5.0,5.0,5.0,4.648780487804878,0.6956172147246857
qwen3_8b_igkf,biomedical_factual_correctness,205,5.0,4.0,5.0,4.239024390243903,0.9982528975371999
qwen3_8b_igkf,completeness,205,4.0,4.0,5.0,4.058536585365854,0.9683662230981124
qwen3_8b_igkf,uncertainty_abstention,205,5.0,4.0,5.0,4.282926829268293,1.1105338848165243
qwen3_8b_literature_only,answer_relevance,205,4.0,3.0,5.0,4.11219512195122,1.048854445581132
qwen3_8b_literature_only,biomedical_factual_correctness,205,4.0,2.0,5.0,3.448780487804878,1.390993782005582
qwen3_8b_literature_only,completeness,205,3.0,2.0,4.0,3.2487804878048783,1.3509477340036382
qwen3_8b_literature_only,uncertainty_abstention,205,4.0,3.0,5.0,3.8048780487804876,1.3865515163902198
