comparison,left_condition,right_condition,metric,paired_N,missing_pair_count,left_median,right_median,median_paired_difference,q1_paired_difference,q3_paired_difference,mean_paired_difference,percent_improved,percent_unchanged,percent_worsened,wilcoxon_statistic,raw_p_value,zero_method,contrast_family,holm_adjusted_p_value,multiple_comparison_correction
graph-only vs baseline,qwen3_8b_baseline,qwen3_8b_graph_only,answer_relevance,205,0,4.0,5.0,1.0,0.0,2.0,0.7853658536585366,54.146341463414636,30.24390243902439,15.609756097560975,2076.0,3.4932671242366737e-10,wilcox,declared_primary_ablation_contrasts,3.1439404118130064e-09,holm
graph-only vs baseline,qwen3_8b_baseline,qwen3_8b_graph_only,biomedical_factual_correctness,205,0,3.0,5.0,2.0,1.0,3.0,1.7853658536585366,77.5609756097561,14.634146341463413,7.804878048780488,831.0,5.826109120553884e-25,wilcox,declared_primary_ablation_contrasts,1.1652218241107767e-23,holm
graph-only vs baseline,qwen3_8b_baseline,qwen3_8b_graph_only,completeness,205,0,2.0,4.0,1.0,0.0,2.0,1.1804878048780487,67.31707317073172,19.51219512195122,13.170731707317074,1968.5,1.0111983566868543e-15,wilcox,declared_primary_ablation_contrasts,1.415677699361596e-14,holm
graph-only vs baseline,qwen3_8b_baseline,qwen3_8b_graph_only,uncertainty_abstention,205,0,3.0,5.0,2.0,0.0,3.0,1.6682926829268292,71.70731707317073,20.975609756097562,7.317073170731707,871.5,4.500772132677635e-22,wilcox,declared_primary_ablation_contrasts,7.65131262555198e-21,holm
literature-only vs baseline,qwen3_8b_baseline,qwen3_8b_literature_only,answer_relevance,205,0,4.0,4.0,0.0,0.0,1.0,0.4682926829268293,47.3170731707317,33.65853658536586,19.024390243902438,2551.5,2.8358099054425407e-06,wilcox,declared_primary_ablation_contrasts,1.7014859432655244e-05,holm
literature-only vs baseline,qwen3_8b_baseline,qwen3_8b_literature_only,biomedical_factual_correctness,205,0,3.0,4.0,1.0,0.0,2.0,0.7365853658536585,50.24390243902439,27.80487804878049,21.951219512195124,2761.0,8.637876261470791e-08,wilcox,declared_primary_ablation_contrasts,6.046513383029554e-07,holm
literature-only vs baseline,qwen3_8b_baseline,qwen3_8b_literature_only,completeness,205,0,2.0,3.0,1.0,0.0,2.0,0.6341463414634146,51.707317073170735,28.780487804878046,19.51219512195122,2402.5,3.1475655163072912e-09,wilcox,declared_primary_ablation_contrasts,2.518052413045833e-08,holm
literature-only vs baseline,qwen3_8b_baseline,qwen3_8b_literature_only,uncertainty_abstention,205,0,3.0,4.0,1.0,0.0,2.0,0.9512195121951219,56.09756097560976,24.390243902439025,19.51219512195122,2439.5,7.276757948037756e-11,wilcox,declared_primary_ablation_contrasts,7.276757948037756e-10,holm
full IGKF vs baseline,qwen3_8b_baseline,qwen3_8b_igkf,answer_relevance,205,0,4.0,5.0,1.0,0.0,2.0,1.0048780487804878,60.48780487804878,32.19512195121951,7.317073170731707,878.0,1.627297489462844e-17,wilcox,declared_primary_ablation_contrasts,2.440946234194266e-16,holm
full IGKF vs baseline,qwen3_8b_baseline,qwen3_8b_igkf,biomedical_factual_correctness,205,0,3.0,5.0,2.0,1.0,3.0,1.526829268292683,76.09756097560975,13.658536585365855,10.24390243902439,1180.0,3.342332303914165e-23,wilcox,declared_primary_ablation_contrasts,6.0161981470454975e-22,holm
