question_id,question_text,proposed_category,category_confidence,manual_review_required,notes
q001,What is the known clinical significance of variant rs6152?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q002,Which gene is directly affected by the mutation rs6152?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q003,Describe the impact of rs6152 on its associated gene's function.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q004,Is the variant rs6152 associated with androgenetic alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q005,In which regulatory element is rs6152 located?,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, regulatory reasoning."
q006,Summarize the information available for the SNP rs6152.,variant interpretation,medium,false,Assigned by transparent keyword rule.
q007,What is the reported p-value for the association between rs6152 and hair loss?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, multi-hop or cross-entity reasoning."
q008,What is the known clinical significance of variant rs2180439?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q009,Which gene is directly affected by the mutation rs2180439?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q010,Describe the impact of rs2180439 on its associated gene's function.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q011,Is the variant rs2180439 associated with androgenetic alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q012,In which regulatory element is rs2180439 located?,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, regulatory reasoning."
q013,Summarize the information available for the SNP rs2180439.,variant interpretation,medium,false,Assigned by transparent keyword rule.
q014,What is the reported p-value for the association between rs2180439 and hair loss?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, multi-hop or cross-entity reasoning."
q015,What is the known clinical significance of variant rs756853?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q016,Which gene is directly affected by the mutation rs756853?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q017,Describe the impact of rs756853 on its associated gene's function.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q018,Is the variant rs756853 associated with androgenetic alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q019,In which regulatory element is rs756853 located?,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, regulatory reasoning."
q020,Summarize the information available for the SNP rs756853.,variant interpretation,medium,false,Assigned by transparent keyword rule.
q021,What is the reported p-value for the association between rs756853 and hair loss?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, multi-hop or cross-entity reasoning."
q022,What is the known clinical significance of variant rs1160312?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q023,Which gene is directly affected by the mutation rs1160312?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q024,Describe the impact of rs1160312 on its associated gene's function.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q025,Is the variant rs1160312 associated with androgenetic alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q026,In which regulatory element is rs1160312 located?,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, regulatory reasoning."
q027,Summarize the information available for the SNP rs1160312.,variant interpretation,medium,false,Assigned by transparent keyword rule.
q028,What is the reported p-value for the association between rs1160312 and hair loss?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, multi-hop or cross-entity reasoning."
q029,What is the known clinical significance of variant rs929626?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q030,Which gene is directly affected by the mutation rs929626?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q031,Describe the impact of rs929626 on its associated gene's function.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q032,Is the variant rs929626 associated with androgenetic alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q033,In which regulatory element is rs929626 located?,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, regulatory reasoning."
q034,Summarize the information available for the SNP rs929626.,variant interpretation,medium,false,Assigned by transparent keyword rule.
q035,What is the reported p-value for the association between rs929626 and hair loss?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, multi-hop or cross-entity reasoning."
q036,What is the known clinical significance of variant rs4679956?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q037,Which gene is directly affected by the mutation rs4679956?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q038,Describe the impact of rs4679956 on its associated gene's function.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q039,Is the variant rs4679956 associated with androgenetic alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q040,In which regulatory element is rs4679956 located?,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, regulatory reasoning."
q041,Summarize the information available for the SNP rs4679956.,variant interpretation,medium,false,Assigned by transparent keyword rule.
q042,What is the reported p-value for the association between rs4679956 and hair loss?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, multi-hop or cross-entity reasoning."
q043,What is the known clinical significance of variant rs7313338?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q044,Which gene is directly affected by the mutation rs7313338?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q045,Describe the impact of rs7313338 on its associated gene's function.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q046,Is the variant rs7313338 associated with androgenetic alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q047,In which regulatory element is rs7313338 located?,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, regulatory reasoning."
q048,Summarize the information available for the SNP rs7313338.,variant interpretation,medium,false,Assigned by transparent keyword rule.
q049,What is the reported p-value for the association between rs7313338 and hair loss?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, multi-hop or cross-entity reasoning."
q050,What is the primary function of the AR gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q051,Summarize the role of AR in male pattern baldness.,gene interpretation,medium,false,Assigned by transparent keyword rule.
q052,Which high-impact variants are located in the AR gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q053,Is the AR gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q054,Show me the pathways that the AR gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q055,What is the primary function of the EDA2R gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q056,Summarize the role of EDA2R in male pattern baldness.,general biomedical or control questions,medium,true,No specific category keyword matched.
q057,Which high-impact variants are located in the EDA2R gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q058,Is the EDA2R gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q059,Show me the pathways that the EDA2R gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q060,What is the primary function of the SRD5A2 gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q061,Summarize the role of SRD5A2 in male pattern baldness.,general biomedical or control questions,medium,true,No specific category keyword matched.
q062,Which high-impact variants are located in the SRD5A2 gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q063,Is the SRD5A2 gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q064,Show me the pathways that the SRD5A2 gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q065,What is the primary function of the FGF5 gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q066,Summarize the role of FGF5 in male pattern baldness.,general biomedical or control questions,medium,true,No specific category keyword matched.
q067,Which high-impact variants are located in the FGF5 gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q068,Is the FGF5 gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q069,Show me the pathways that the FGF5 gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q070,What is the primary function of the WNT10A gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q071,Summarize the role of WNT10A in male pattern baldness.,gene interpretation,medium,false,Assigned by transparent keyword rule.
q072,Which high-impact variants are located in the WNT10A gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q073,Is the WNT10A gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q074,Show me the pathways that the WNT10A gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q075,What is the primary function of the HDAC9 gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q076,Summarize the role of HDAC9 in male pattern baldness.,general biomedical or control questions,medium,true,No specific category keyword matched.
q077,Which high-impact variants are located in the HDAC9 gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q078,Is the HDAC9 gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q079,Show me the pathways that the HDAC9 gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q080,What is the primary function of the LGR4 gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q081,Summarize the role of LGR4 in male pattern baldness.,gene interpretation,medium,false,Assigned by transparent keyword rule.
q082,Which high-impact variants are located in the LGR4 gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q083,Is the LGR4 gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q084,Show me the pathways that the LGR4 gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q085,What is the primary function of the PAX1 gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q086,Summarize the role of PAX1 in male pattern baldness.,general biomedical or control questions,medium,true,No specific category keyword matched.
q087,Which high-impact variants are located in the PAX1 gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q088,Is the PAX1 gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q089,Show me the pathways that the PAX1 gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q090,What is the primary function of the FOXA2 gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q091,Summarize the role of FOXA2 in male pattern baldness.,general biomedical or control questions,medium,true,No specific category keyword matched.
q092,Which high-impact variants are located in the FOXA2 gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q093,Is the FOXA2 gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q094,Show me the pathways that the FOXA2 gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q095,What is the primary function of the Lhx2 gene in the context of hair follicle cycling?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q096,Summarize the role of Lhx2 in male pattern baldness.,general biomedical or control questions,medium,true,No specific category keyword matched.
q097,Which high-impact variants are located in the Lhx2 gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q098,Is the Lhx2 gene a known target for any hair loss treatments?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q099,Show me the pathways that the Lhx2 gene participates in.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q100,How is the Wnt signaling pathway implicated in androgenetic alopecia?,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q101,List the key genes from this study involved in the Wnt signaling pathway.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, literature synthesis."
q102,Describe the mechanism of the Wnt signaling pathway in hair growth.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
